Code,Entity,suicide_rate,gdp_per_capita,alcohol_liters_per_year,avg_surface_temperature,sunshine_hours_year,latitude,unemployment_rate,gini_index,urban_population_pct,population_density,literacy_rate,homicide_rate,religiosity_share,one_person_households_pct,fruit_veg_consumption_kg_per_capita,meat_kg_per_capita,family_important_pct,friends_important_pct,drug_use_death_rate,overweight_prevalence_pct,median_age,life_expectancy,healthcare_expenditure_per_capita_ppp
MDA,Moldova,17.90590909090909,10220.718513636362,11.678571428571429,10.814701840909091,2126.0,47.195103,3.348636363636364,0.3103771804545455,42.91186363636364,109.5457840909091,98.53333333333336,6.325003668181818,99.22996,20.25371369,175.12078836363634,35.80923318181818,97.47592000000002,77.25504333333333,0.3054545454545454,56.15167636363637,33.77522727272727,69.24826818181818,526.1743822727273
MDG,Madagascar,6.069090909090909,1646.8186545454546,1.0471428571428572,22.776214136363635,2864.433333333333,-19.373167,3.1302272727272724,0.418484442,32.504363636363635,39.022617,69.69450833333333,,77.6255975,6.559490607333333,60.02914731818181,9.5654899,,,0.4299999999999999,11.462256363636364,16.97831818181818,61.847427272727266,63.37635990909091
MEX,Mexico,4.978181818181818,20686.974,5.547619047619048,20.980304863636363,2596.25,23.949171,3.979727272727273,0.4912226516666667,77.93163636363637,58.62431904545454,93.27777777777776,17.77163559090909,92.268435,8.647083156666666,178.3711434090909,64.82157145454545,98.53633583333334,75.03494166666667,0.285,67.12628727272727,24.97781818181818,73.47135909090909,896.0260072727273
MKD,North Macedonia,6.8981818181818175,16683.07422727273,4.51047619047619,11.374589022727273,2339.0,41.595005,29.14827272727273,0.3659550990909091,57.68440909090909,79.86422031818182,96.8,1.7469447695238094,99.025657,9.6625,324.2018755454545,39.62335754545455,98.608175,91.63077,0.44,57.10522045454545,34.96477272727273,74.54968181818182,867.4604886363636
MLI,Mali,4.103636363636364,2511.4584227272726,2.771428571428572,28.914616454545456,3099.866666666667,17.344162,1.7195454545454545,0.3668934339999999,36.43663636363636,13.484158772727271,30.142857142857142,,98.038885,5.197789739,125.15379322727271,18.773027545454543,97.455973,90.67189,0.019090909090909,24.072419545454544,15.23968181818182,55.8076,74.44608513636364
MMR,Myanmar,3.383636363636364,3908.271781818182,1.1842857142857144,23.74668627272728,,21.16767,0.949409090909091,0.3438269,29.05331818181818,75.66490227272728,84.8504,3.362674436363636,99.9385,5.354498397,120.81000390909092,35.33327240909091,99.33334,75.83333,0.105,20.85967909090909,25.9365,63.319213636363635,113.59570813636364
MNE,Montenegro,14.35590909090909,19340.1305,10.096666666666666,9.978301454545454,2481.0,42.78582,21.650181818181817,0.375533266,64.08095454545455,46.67308877272728,98.3786,2.96747365625,98.793527,18.12663206,285.1489808125,77.948780125,99.01084125,96.0626175,0.1822727272727272,46.27728772727273,35.48863636363637,75.35811363636364,1660.8438272727274
MNG,Mongolia,18.389545454545456,10761.183163636364,7.088095238095238,1.5606972995454549,2791.5,46.825806,6.202500000000001,0.3331945825,65.38063636363637,1.8010383636363636,97.9740875,8.809412510526315,60.863239,6.606338212,60.53962318181818,84.40633309090909,96.12304,91.37199,0.6854545454545454,48.50864818181819,24.22190909090909,67.2112,381.90877590909093
MOZ,Mozambique,9.28818181818182,1219.6997822727271,1.4038095238095238,23.99193595454545,2838.0,-17.27001,3.2773636363636367,0.49280454,32.55640909090909,30.44563309090909,55.2,4.7073671363636365,83.38231999999999,8.670216630333334,46.58039916818182,9.034170240909091,,,0.2690909090909091,18.752995000000002,15.965454545454547,55.674277272727274,59.050006772727265
MRT,Mauritania,2.722272727272727,5663.507122727273,0.0,27.76575277272727,3332.5,20.256218,10.09581818181818,0.358997426,47.03381818181818,3.4272553772727274,58.35091,1.0987325666666667,99.895585,,46.783128,32.064297727272724,,,0.0227272727272727,37.965019545454545,16.66618181818182,65.15852727272727,140.11351863636364
